call_id,caller_phone_id,receiver_phone_id,timestamp,duration_seconds,tower_location_id,source_evidence_file_id
CALL-0000001,PH-000001,PH-000002,2026-07-28T00:00:00,243,TOWER-Warangal,
CALL-0000002,PH-000001,PH-000002,2026-08-04T00:00:00,391,TOWER-Warangal,
CALL-0000003,PH-000001,PH-000002,2026-08-08T00:00:00,884,TOWER-Warangal,
CALL-0000004,PH-000001,PH-000002,2026-08-14T00:00:00,499,TOWER-Warangal,
CALL-0000005,PH-000001,PH-000003,2026-07-26T00:00:00,154,TOWER-Warangal,
CALL-0000006,PH-000001,PH-000003,2026-08-01T00:00:00,241,TOWER-Warangal,
CALL-0000007,PH-000001,PH-000003,2026-08-06T00:00:00,801,TOWER-Warangal,
CALL-0000008,PH-000002,PH-000004,2026-07-22T00:00:00,165,TOWER-Rangareddy,
CALL-0000009,PH-000002,PH-000004,2026-07-23T00:00:00,141,TOWER-Rangareddy,
CALL-0000010,PH-000002,PH-000004,2026-07-24T00:00:00,260,TOWER-Rangareddy,
CALL-0000011,PH-000002,PH-000004,2026-07-25T00:00:00,183,TOWER-Rangareddy,
CALL-0000012,PH-000002,PH-000004,2026-07-26T00:00:00,81,TOWER-Rangareddy,
CALL-0000013,PH-000002,PH-000004,2026-07-27T00:00:00,143,TOWER-Rangareddy,
CALL-0000014,PH-000002,PH-000004,2026-07-28T00:00:00,128,TOWER-Rangareddy,
CALL-0000015,PH-000002,PH-000004,2026-07-29T00:00:00,97,TOWER-Rangareddy,
CALL-0000016,PH-000002,PH-000004,2026-07-31T00:00:00,85,TOWER-Rangareddy,
CALL-0000017,PH-000002,PH-000004,2026-08-01T00:00:00,148,TOWER-Rangareddy,
CALL-0000018,PH-000002,PH-000004,2026-08-03T00:00:00,210,TOWER-Rangareddy,
CALL-0000019,PH-000003,PH-000005,2026-07-22T00:00:00,78,TOWER-Warangal,
CALL-0000020,PH-000003,PH-000005,2026-07-23T00:00:00,245,TOWER-Warangal,
CALL-0000021,PH-000003,PH-000005,2026-07-24T00:00:00,217,TOWER-Warangal,
CALL-0000022,PH-000003,PH-000005,2026-07-25T00:00:00,266,TOWER-Warangal,
CALL-0000023,PH-000003,PH-000005,2026-07-26T00:00:00,269,TOWER-Warangal,
CALL-0000024,PH-000003,PH-000005,2026-07-27T00:00:00,133,TOWER-Warangal,
CALL-0000025,PH-000003,PH-000005,2026-07-28T00:00:00,165,TOWER-Warangal,
CALL-0000026,PH-000003,PH-000005,2026-07-29T00:00:00,147,TOWER-Warangal,
CALL-0000027,PH-000003,PH-000005,2026-07-30T00:00:00,233,TOWER-Warangal,
CALL-0000028,PH-000003,PH-000005,2026-07-31T00:00:00,115,TOWER-Warangal,
CALL-0000029,PH-000003,PH-000005,2026-08-01T00:00:00,220,TOWER-Warangal,
CALL-0000030,PH-000002,PH-000006,2026-07-22T00:00:00,297,TOWER-Rangareddy,
CALL-0000031,PH-000002,PH-000006,2026-07-23T00:00:00,78,TOWER-Rangareddy,
CALL-0000032,PH-000002,PH-000006,2026-07-24T00:00:00,230,TOWER-Rangareddy,
CALL-0000033,PH-000002,PH-000006,2026-07-25T00:00:00,186,TOWER-Rangareddy,
CALL-0000034,PH-000002,PH-000006,2026-07-26T00:00:00,263,TOWER-Rangareddy,
CALL-0000035,PH-000002,PH-000006,2026-07-27T00:00:00,286,TOWER-Rangareddy,
CALL-0000036,PH-000002,PH-000006,2026-07-28T00:00:00,186,TOWER-Rangareddy,
CALL-0000037,PH-000002,PH-000006,2026-07-29T00:00:00,270,TOWER-Rangareddy,
CALL-0000038,PH-000002,PH-000006,2026-07-30T00:00:00,201,TOWER-Rangareddy,
CALL-0000039,PH-000004,PH-000254,2026-07-30T11:10:00,455,TOWER-Hyderabad,
CALL-0000040,PH-000004,PH-000254,2026-07-30T11:06:00,206,TOWER-Hyderabad,
CALL-0000041,PH-000004,PH-000255,2026-07-25T13:07:00,120,TOWER-Hyderabad,
CALL-0000042,PH-000004,PH-000255,2026-07-25T13:01:00,229,TOWER-Hyderabad,
CALL-0000043,PH-000004,PH-000256,2026-07-22T09:02:00,512,TOWER-Hyderabad,
CALL-0000044,PH-000004,PH-000257,2026-08-11T17:06:00,51,TOWER-Hyderabad,
CALL-0000045,PH-000004,PH-000258,2026-07-23T18:00:00,170,TOWER-Hyderabad,
CALL-0000046,PH-000004,PH-000258,2026-07-23T18:00:00,549,TOWER-Hyderabad,
CALL-0000047,PH-000004,PH-000258,2026-07-23T18:09:00,391,TOWER-Hyderabad,
CALL-0000048,PH-000004,PH-000259,2026-08-08T16:04:00,376,TOWER-Hyderabad,
CALL-0000049,PH-000004,PH-000259,2026-08-08T16:02:00,568,TOWER-Hyderabad,
CALL-0000050,PH-000004,PH-000259,2026-08-08T16:10:00,432,TOWER-Hyderabad,
CALL-0000051,PH-000004,PH-000260,2026-07-23T14:04:00,259,TOWER-Hyderabad,
CALL-0000052,PH-000004,PH-000260,2026-07-23T14:06:00,35,TOWER-Hyderabad,
CALL-0000053,PH-000004,PH-000261,2026-07-28T13:06:00,200,TOWER-Hyderabad,
CALL-0000054,PH-000004,PH-000261,2026-07-28T13:00:00,110,TOWER-Hyderabad,
CALL-0000055,PH-000004,PH-000262,2026-08-02T17:03:00,118,TOWER-Hyderabad,
CALL-0000056,PH-000004,PH-000263,2026-07-30T15:07:00,381,TOWER-Hyderabad,
CALL-0000057,PH-000004,PH-000263,2026-07-30T15:00:00,73,TOWER-Hyderabad,
