relationship_id,source_id,target_id,relationship_type,weight,first_seen,last_seen,source_doc
REL-0000001,P-000001,P-000002,CALLED,0.0015,2026-07-28T00:00:00,2026-08-14T00:00:00,CDR
REL-0000002,P-000001,P-000003,CALLED,0.0009,2026-07-26T00:00:00,2026-08-06T00:00:00,CDR
REL-0000003,P-000002,P-000004,CALLED,0.0014,2026-07-22T00:00:00,2026-08-03T00:00:00,CDR
REL-0000004,P-000003,P-000005,CALLED,0.0012,2026-07-22T00:00:00,2026-08-01T00:00:00,CDR
REL-0000005,P-000002,P-000006,CALLED,0.001,2026-07-22T00:00:00,2026-07-30T00:00:00,CDR
REL-0000006,P-000004,P-000007,CALLED,0.0005,2026-07-30T11:06:00,2026-07-30T11:10:00,CDR
REL-0000007,P-000004,P-000008,CALLED,0.0004,2026-07-25T13:01:00,2026-07-25T13:07:00,CDR
REL-0000008,P-000004,P-000009,CALLED,0.0002,2026-07-22T09:02:00,2026-07-22T09:02:00,CDR
REL-0000009,P-000004,P-000010,CALLED,0.0006,2026-08-11T17:06:00,2026-08-11T17:06:00,CDR
REL-0000010,P-000004,P-000011,CALLED,0.0005,2026-07-23T18:00:00,2026-07-23T18:09:00,CDR
REL-0000011,P-000004,P-000012,CALLED,0.001,2026-08-08T16:02:00,2026-08-08T16:10:00,CDR
REL-0000012,P-000004,P-000013,CALLED,0.0004,2026-07-23T14:04:00,2026-07-23T14:06:00,CDR
REL-0000013,P-000004,P-000014,CALLED,0.0005,2026-07-28T13:00:00,2026-07-28T13:06:00,CDR
REL-0000014,P-000004,P-000015,CALLED,0.0004,2026-08-02T17:03:00,2026-08-02T17:03:00,CDR
REL-0000015,P-000004,P-000016,CALLED,0.0005,2026-07-30T15:00:00,2026-07-30T15:07:00,CDR
REL-0000016,P-000004,P-000017,CALLED,0.0005,2026-08-06T15:04:00,2026-08-06T15:04:00,CDR
REL-0000017,P-000004,P-000018,CALLED,0.0003,2026-07-28T18:10:00,2026-07-28T18:10:00,CDR
REL-0000018,P-000004,P-000019,CALLED,0.0012,2026-08-11T09:02:00,2026-08-11T09:09:00,CDR
REL-0000019,P-000004,P-000020,CALLED,0.0004,2026-07-23T11:04:00,2026-07-23T11:05:00,CDR
REL-0000020,P-000004,P-000021,CALLED,0.0016,2026-08-17T11:00:00,2026-08-17T11:04:00,CDR
REL-0000021,P-000004,P-000022,CALLED,0.0006,2026-07-27T14:06:00,2026-07-27T14:08:00,CDR
REL-0000022,P-000004,P-000023,CALLED,0.0012,2026-08-11T17:04:00,2026-08-11T17:08:00,CDR
REL-0000023,P-000004,P-000024,CALLED,0.0005,2026-07-26T12:01:00,2026-07-26T12:10:00,CDR
REL-0000024,P-000004,P-000025,CALLED,0.0015,2026-08-16T14:07:00,2026-08-16T14:10:00,CDR
REL-0000025,P-000004,P-000026,CALLED,0.0005,2026-07-25T14:02:00,2026-07-25T14:10:00,CDR
REL-0000026,P-000004,P-000027,CALLED,0.0003,2026-07-26T12:06:00,2026-07-26T12:06:00,CDR
REL-0000027,P-000004,P-000028,CALLED,0.0007,2026-08-14T17:03:00,2026-08-14T17:03:00,CDR
REL-0000028,P-000004,P-000029,CALLED,0.0013,2026-08-17T10:01:00,2026-08-17T10:07:00,CDR
REL-0000029,P-000004,P-000030,CALLED,0.0006,2026-07-28T15:07:00,2026-07-28T15:10:00,CDR
REL-0000030,P-000004,P-000031,CALLED,0.0018,2026-08-19T14:00:00,2026-08-19T14:04:00,CDR
REL-0000031,P-000004,P-000032,CALLED,0.0014,2026-08-14T11:03:00,2026-08-14T11:07:00,CDR
REL-0000032,P-000004,P-000033,CALLED,0.0013,2026-08-13T10:03:00,2026-08-13T10:09:00,CDR
REL-0000033,P-000004,P-000034,CALLED,0.0005,2026-07-29T14:02:00,2026-07-29T14:04:00,CDR
REL-0000034,P-000005,P-000035,CALLED,0.0005,2026-07-24T13:07:00,2026-07-24T13:09:00,CDR
REL-0000035,P-000005,P-000036,CALLED,0.001,2026-08-08T13:02:00,2026-08-08T13:08:00,CDR
REL-0000036,P-000005,P-000037,CALLED,0.0008,2026-08-02T15:00:00,2026-08-02T15:10:00,CDR
REL-0000037,P-000005,P-000038,CALLED,0.0009,2026-08-19T14:06:00,2026-08-19T14:06:00,CDR
REL-0000038,P-000005,P-000039,CALLED,0.0004,2026-07-25T09:00:00,2026-07-25T09:08:00,CDR
REL-0000039,P-000005,P-000040,CALLED,0.0007,2026-08-13T14:10:00,2026-08-13T14:10:00,CDR
REL-0000040,P-000005,P-000041,CALLED,0.0005,2026-07-26T12:02:00,2026-07-26T12:08:00,CDR
REL-0000041,P-000005,P-000042,CALLED,0.0005,2026-08-09T10:05:00,2026-08-09T10:05:00,CDR
REL-0000042,P-000005,P-000043,CALLED,0.0008,2026-08-03T11:01:00,2026-08-03T11:10:00,CDR
REL-0000043,P-000005,P-000044,CALLED,0.0007,2026-08-14T15:09:00,2026-08-14T15:09:00,CDR
REL-0000044,P-000005,P-000045,CALLED,0.0008,2026-08-02T18:02:00,2026-08-02T18:03:00,CDR
REL-0000045,P-000005,P-000046,CALLED,0.0002,2026-07-24T18:06:00,2026-07-24T18:06:00,CDR
REL-0000046,P-000005,P-000047,CALLED,0.0006,2026-08-02T15:09:00,2026-08-02T15:10:00,CDR
REL-0000047,P-000005,P-000048,CALLED,0.0007,2026-07-31T16:03:00,2026-07-31T16:07:00,CDR
REL-0000048,P-000005,P-000049,CALLED,0.0006,2026-08-10T17:01:00,2026-08-10T17:01:00,CDR
REL-0000049,P-000005,P-000050,CALLED,0.0003,2026-07-26T17:09:00,2026-07-26T17:09:00,CDR
REL-0000050,P-000005,P-000051,CALLED,0.0005,2026-07-29T10:05:00,2026-07-29T10:09:00,CDR
REL-0000051,P-000005,P-000052,CALLED,0.0005,2026-07-23T16:03:00,2026-07-23T16:10:00,CDR
REL-0000052,P-000005,P-000053,CALLED,0.0006,2026-08-01T15:05:00,2026-08-01T15:08:00,CDR
REL-0000053,P-000005,P-000054,CALLED,0.0008,2026-08-04T16:01:00,2026-08-04T16:09:00,CDR
REL-0000054,P-000005,P-000055,CALLED,0.0006,2026-08-02T13:01:00,2026-08-02T13:09:00,CDR
REL-0000055,P-000005,P-000056,CALLED,0.0013,2026-08-12T17:03:00,2026-08-12T17:08:00,CDR
REL-0000056,P-000005,P-000057,CALLED,0.0007,2026-08-13T18:08:00,2026-08-13T18:08:00,CDR
REL-0000057,P-000005,P-000058,CALLED,0.0006,2026-08-02T16:03:00,2026-08-02T16:05:00,CDR
REL-0000058,P-000005,P-000059,CALLED,0.0013,2026-08-17T09:04:00,2026-08-17T09:09:00,CDR
REL-0000059,P-000005,P-000060,CALLED,0.0003,2026-07-21T11:04:00,2026-07-21T11:08:00,CDR
REL-0000060,P-000005,P-000061,CALLED,0.0014,2026-08-18T13:05:00,2026-08-18T13:05:00,CDR
REL-0000061,P-000005,P-000062,CALLED,0.0007,2026-08-15T17:02:00,2026-08-15T17:02:00,CDR
REL-0000062,P-000005,P-000063,CALLED,0.0007,2026-07-30T09:01:00,2026-07-30T09:08:00,CDR
REL-0000063,P-000005,P-000064,CALLED,0.0011,2026-08-13T18:01:00,2026-08-13T18:03:00,CDR
REL-0000064,P-000006,P-000065,CALLED,0.0004,2026-08-04T17:05:00,2026-08-04T17:05:00,CDR
REL-0000065,P-000006,P-000066,CALLED,0.0005,2026-07-30T14:04:00,2026-07-30T14:04:00,CDR
REL-0000066,P-000006,P-000067,CALLED,0.0009,2026-08-10T17:00:00,2026-08-10T17:08:00,CDR
REL-0000067,P-000006,P-000068,CALLED,0.0009,2026-08-09T11:00:00,2026-08-09T11:10:00,CDR
REL-0000068,P-000006,P-000069,CALLED,0.0013,2026-08-12T11:01:00,2026-08-12T11:08:00,CDR
REL-0000069,P-000006,P-000070,CALLED,0.0004,2026-07-21T11:01:00,2026-07-21T11:10:00,CDR
REL-0000070,P-000006,P-000071,CALLED,0.0008,2026-08-04T15:03:00,2026-08-04T15:06:00,CDR
REL-0000071,P-000006,P-000072,CALLED,0.0007,2026-07-30T12:04:00,2026-07-30T12:07:00,CDR
REL-0000072,P-000006,P-000073,CALLED,0.0005,2026-07-30T17:00:00,2026-07-30T17:05:00,CDR
REL-0000073,P-000006,P-000074,CALLED,0.0002,2026-07-22T17:10:00,2026-07-22T17:10:00,CDR
REL-0000074,P-000006,P-000075,CALLED,0.0004,2026-07-22T11:01:00,2026-07-22T11:01:00,CDR
REL-0000075,P-000006,P-000076,CALLED,0.001,2026-08-08T13:04:00,2026-08-08T13:10:00,CDR
REL-0000076,P-000006,P-000077,CALLED,0.0005,2026-08-08T15:01:00,2026-08-08T15:01:00,CDR
REL-0000077,P-000006,P-000078,CALLED,0.0004,2026-08-02T17:04:00,2026-08-02T17:04:00,CDR
REL-0000078,P-000006,P-000079,CALLED,0.0008,2026-08-04T09:01:00,2026-08-04T09:07:00,CDR
REL-0000079,P-000006,P-000080,CALLED,0.0006,2026-08-01T17:04:00,2026-08-01T17:06:00,CDR
REL-0000080,P-000006,P-000081,CALLED,0.0013,2026-08-13T15:04:00,2026-08-13T15:09:00,CDR
REL-0000081,P-000006,P-000082,CALLED,0.0005,2026-07-30T12:01:00,2026-07-30T12:07:00,CDR
REL-0000082,P-000006,P-000083,CALLED,0.0002,2026-07-23T15:10:00,2026-07-23T15:10:00,CDR
REL-0000083,P-000006,P-000084,CALLED,0.0005,2026-08-09T12:05:00,2026-08-09T12:05:00,CDR
REL-0000084,P-000006,P-000085,CALLED,0.001,2026-08-08T15:01:00,2026-08-08T15:09:00,CDR
REL-0000085,P-000006,P-000086,CALLED,0.0004,2026-08-03T12:08:00,2026-08-03T12:08:00,CDR
REL-0000086,P-000006,P-000087,CALLED,0.0007,2026-08-14T10:01:00,2026-08-14T10:01:00,CDR
REL-0000087,P-000006,P-000088,CALLED,0.0006,2026-08-01T11:09:00,2026-08-01T11:10:00,CDR
REL-0000088,P-000091,P-000092,CALLED,0.0004,2026-07-23T00:03:00,2026-07-23T00:30:00,CDR
REL-0000089,P-000091,P-000093,CALLED,0.0006,2026-08-02T00:21:00,2026-08-02T00:21:00,CDR
REL-0000090,P-000091,P-000094,CALLED,0.0004,2026-08-03T00:24:00,2026-08-03T00:24:00,CDR
REL-0000091,P-000091,P-000095,CALLED,0.0003,2026-07-25T00:14:00,2026-07-25T00:14:00,CDR
REL-0000092,P-000091,P-000096,CALLED,0.0003,2026-07-29T00:25:00,2026-07-29T00:25:00,CDR
REL-0000093,P-000091,P-000097,CALLED,0.0002,2026-07-23T00:29:00,2026-07-23T00:29:00,CDR
REL-0000094,P-000091,P-000098,CALLED,0.0003,2026-07-21T00:04:00,2026-07-21T00:10:00,CDR
REL-0000095,P-000091,P-000099,CALLED,0.0004,2026-07-25T00:18:00,2026-07-25T00:25:00,CDR
REL-0000096,P-000091,P-000100,CALLED,0.0003,2026-07-28T00:22:00,2026-07-28T00:22:00,CDR
REL-0000097,P-000091,P-000101,CALLED,0.0003,2026-07-25T00:13:00,2026-07-25T00:13:00,CDR
REL-0000098,P-000091,P-000102,CALLED,0.0004,2026-08-03T00:05:00,2026-08-03T00:05:00,CDR
REL-0000099,P-000091,P-000103,CALLED,0.0005,2026-07-27T00:08:00,2026-07-27T00:16:00,CDR
REL-0000100,P-000091,P-000104,CALLED,0.0003,2026-07-29T00:09:00,2026-07-29T00:09:00,CDR
REL-0000101,P-000091,P-000105,CALLED,0.0002,2026-07-21T00:03:00,2026-07-21T00:03:00,CDR
REL-0000102,P-000091,P-000106,CALLED,0.0003,2026-07-27T00:18:00,2026-07-27T00:18:00,CDR
REL-0000103,P-000091,P-000107,CALLED,0.0009,2026-08-05T00:11:00,2026-08-05T00:30:00,CDR
REL-0000104,P-000091,P-000108,CALLED,0.0005,2026-07-23T00:08:00,2026-07-23T00:30:00,CDR
REL-0000105,P-000091,P-000109,CALLED,0.0005,2026-07-26T00:09:00,2026-07-26T00:17:00,CDR
REL-0000106,P-000091,P-000110,CALLED,0.0004,2026-07-25T00:06:00,2026-07-25T00:19:00,CDR
REL-0000107,P-000091,P-000111,CALLED,0.0007,2026-08-04T00:14:00,2026-08-04T00:26:00,CDR
REL-0000108,P-000091,P-000112,CALLED,0.0006,2026-07-28T00:02:00,2026-07-28T00:15:00,CDR
REL-0000109,P-000091,P-000113,CALLED,0.0006,2026-08-02T00:00:00,2026-08-02T00:07:00,CDR
REL-0000110,P-000091,P-000114,CALLED,0.0004,2026-07-26T00:08:00,2026-07-26T00:22:00,CDR
REL-0000111,P-000091,P-000115,CALLED,0.0004,2026-07-25T00:11:00,2026-07-25T00:14:00,CDR
REL-0000112,P-000091,P-000116,CALLED,0.0009,2026-08-05T00:02:00,2026-08-05T00:27:00,CDR
REL-0000113,P-000091,P-000117,CALLED,0.0002,2026-07-24T00:20:00,2026-07-24T00:20:00,CDR
REL-0000114,P-000091,P-000118,CALLED,0.0004,2026-08-01T00:14:00,2026-08-01T00:14:00,CDR
REL-0000115,P-000091,P-000119,CALLED,0.0004,2026-07-24T00:10:00,2026-07-24T00:18:00,CDR
REL-0000116,P-000091,P-000120,CALLED,0.0002,2026-07-23T00:00:00,2026-07-23T00:00:00,CDR
REL-0000117,P-000091,P-000121,CALLED,0.0006,2026-08-02T00:18:00,2026-08-02T00:19:00,CDR
REL-0000118,P-000091,P-000122,CALLED,0.0002,2026-07-23T00:04:00,2026-07-23T00:04:00,CDR
REL-0000119,P-000091,P-000123,CALLED,0.0006,2026-08-03T00:05:00,2026-08-03T00:08:00,CDR
REL-0000120,P-000091,P-000124,CALLED,0.0003,2026-07-25T00:06:00,2026-07-25T00:06:00,CDR
REL-0000121,P-000091,P-000125,CALLED,0.0005,2026-07-28T00:10:00,2026-07-28T00:18:00,CDR
REL-0000122,P-000091,P-000126,CALLED,0.0004,2026-07-23T00:02:00,2026-07-23T00:28:00,CDR
REL-0000123,P-000091,P-000127,CALLED,0.0004,2026-07-26T00:16:00,2026-07-26T00:23:00,CDR
REL-0000124,P-000091,P-000128,CALLED,0.0002,2026-07-22T00:01:00,2026-07-22T00:01:00,CDR
REL-0000125,P-000091,P-000129,CALLED,0.0006,2026-08-02T00:20:00,2026-08-02T00:24:00,CDR
REL-0000126,P-000091,P-000130,CALLED,0.0004,2026-08-05T00:25:00,2026-08-05T00:25:00,CDR
