evidence_file_id,case_id,filename,file_type,detected_type,classification_confidence,investigator_override,upload_timestamp,processing_status
EVD-000001,CYB-2026-001,FIR-0001.txt,.txt,FIR,0.906,,2026-07-23T20:00:00,processed
EVD-000002,CYB-2026-001,FIR-0002.txt,.txt,FIR,0.93,,2026-07-23T18:00:00,processed
EVD-000003,CYB-2026-001,FIR-0003.txt,.txt,FIR,0.922,,2026-07-22T20:00:00,processed
EVD-000004,CYB-2026-001,FIR-0004.txt,.txt,FIR,0.921,,2026-07-21T12:00:00,processed
EVD-000005,CYB-2026-001,FIR-0005.txt,.txt,FIR,0.98,,2026-07-22T14:00:00,processed
EVD-000006,CYB-2026-001,FIR-0006.txt,.txt,FIR,0.919,,2026-07-23T00:00:00,processed
EVD-000007,CYB-2026-001,FIR-0007.txt,.txt,FIR,0.931,,2026-07-24T00:00:00,processed
EVD-000008,CYB-2026-001,FIR-0008.txt,.txt,FIR,0.755,,2026-07-22T08:00:00,processed
EVD-000009,CYB-2026-001,FIR-0009.txt,.txt,FIR,0.928,,2026-07-23T10:00:00,processed
EVD-000010,CYB-2026-001,FIR-0010.txt,.txt,FIR,0.928,,2026-07-23T20:00:00,processed
EVD-000011,CYB-2026-001,FIR-0011.txt,.txt,FIR,0.922,,2026-07-23T19:00:00,processed
EVD-000012,CYB-2026-001,FIR-0012.txt,.txt,FIR,0.952,,2026-07-22T22:00:00,processed
EVD-000013,CYB-2026-001,FIR-0013.txt,.txt,FIR,0.975,,2026-07-22T00:00:00,processed
EVD-000014,CYB-2026-001,FIR-0014.txt,.txt,FIR,0.556,FIR,2026-07-21T08:00:00,processed
EVD-000015,CYB-2026-001,FIR-0015.txt,.txt,FIR,0.943,,2026-07-23T19:00:00,processed
EVD-000016,CYB-2026-001,FIR-0016.txt,.txt,FIR,0.961,,2026-07-22T05:00:00,processed
EVD-000017,CYB-2026-001,FIR-0017.txt,.txt,FIR,0.919,,2026-07-21T04:00:00,processed
EVD-000018,CYB-2026-001,FIR-0018.txt,.txt,FIR,0.919,,2026-07-22T19:00:00,processed
EVD-000019,CYB-2026-001,FIR-0019.txt,.txt,FIR,0.96,,2026-07-22T21:00:00,processed
EVD-000020,CYB-2026-001,FIR-0020.txt,.txt,FIR,0.929,,2026-07-21T20:00:00,processed
EVD-000021,CYB-2026-001,FIR-0021.txt,.txt,FIR,0.933,,2026-07-22T21:00:00,processed
